,X,Y
94400,1898,971
94420,1864,962
94440,1828,954
94460,1804,941
94480,1766,928
94500,1717,913
94520,1672,898
94540,1625,888
94560,1579,875
94580,1533,869
94600,1484,856
94620,1437,845
94640,1393,834
94660,1361,827
94680,1336,821
94700,1308,813
94720,1271,800
94740,1237,788
94760,1190,783
94780,1143,772
94800,1101,762
94820,1056,762
94840,1008,760
94860,959,763
94880,908,748
94900,856,741
94920,818,726
94940,772,711
94960,726,699
94980,687,684
95000,644,672
95020,599,663
95040,556,652
95060,506,641
95080,461,631
95100,420,618
95120,378,604
95140,343,594
95160,301,584
95180,261,576
95200,216,572
95220,172,559
95240,130,549
95260,85,546
95280,41,535
