,X,Y
87320,1301,98
87324,1300,99
87328,1299,101
87332,1299,103
87336,1298,105
87340,1298,107
87344,1297,109
87348,1297,111
87352,1296,114
87356,1296,116
87360,1296,119
87364,1295,121
87368,1295,123
87372,1294,125
87376,1294,127
87380,1294,129
87384,1293,130
87388,1292,132
87392,1291,134
87396,1290,136
87400,1289,138
87404,1286,139
87408,1284,140
87412,1282,141
87416,1280,142
87420,1278,144
87424,1277,146
87428,1276,149
87432,1275,152
87436,1274,155
87440,1274,158
87444,1272,161
87448,1270,164
87452,1269,167
87456,1267,170
87460,1266,173
87464,1263,174
87468,1260,176
87472,1257,177
87476,1254,179
87480,1251,181
87484,1248,181
87488,1245,181
87492,1242,181
87496,1239,181
87500,1236,182
87504,1235,184
87508,1235,187
87512,1234,190
87516,1234,193
87520,1234,196
87524,1231,199
87528,1229,202
87532,1227,205
87536,1225,208
87540,1223,211
87544,1220,214
87548,1217,217
87552,1215,221
87556,1212,224
87560,1210,228
87564,1204,229
87568,1199,230
87572,1193,231
87576,1188,232
87580,1183,233
87584,1178,236
87588,1173,239
87592,1169,242
87596,1164,245
87600,1160,248
87604,1156,250
87608,1152,252
87612,1149,255
87616,1145,257
87620,1142,260
87624,1138,261
87628,1135,262
87632,1131,263
87636,1128,264
87640,1125,265
87644,1119,267
87648,1113,269
87652,1108,271
87656,1102,273
87660,1097,275
87664,1092,275
87668,1087,276
87672,1083,276
87676,1078,277
87680,1074,278
87684,1069,281
87688,1065,284
87692,1061,287
87696,1057,290
87700,1053,294
87704,1048,296
87708,1044,298
87712,1039,301
87716,1035,303
87720,1031,306
87724,1026,309
87728,1022,312
87732,1018,315
87736,1014,318
87740,1010,321
87744,1005,323
87748,1000,325
87752,996,328
87756,991,330
87760,987,333
87764,981,336
87768,975,339
87772,969,342
87776,963,345
87780,958,349
87784,954,352
87788,951,356
87792,948,359
87796,945,363
87800,942,367
87804,938,370
87808,935,373
87812,931,376
87816,928,379
87820,925,383
87824,918,386
87828,912,389
87832,905,392
87836,899,395
87840,893,398
87844,886,400
87848,880,403
87852,873,406
87856,867,409
87860,861,412
87864,857,415
87868,853,418
87872,850,422
87876,846,425
87880,843,429
87884,838,432
87888,833,435
87892,829,438
87896,824,441
87900,820,444
87904,813,448
87908,806,453
87912,799,457
87916,792,462
87920,786,467
87924,781,470
87928,777,473
87932,772,477
87936,768,480
87940,764,484
87944,757,487
87948,751,491
87952,744,494
87956,738,498
87960,732,502
87964,725,506
87968,718,511
87972,711,516
87976,704,521
87980,697,526
87984,691,529
87988,686,533
87992,680,536
87996,675,540
88000,670,544
88004,666,548
88008,662,552
88012,658,556
88016,654,560
88020,651,564
88024,644,567
88028,638,571
88032,632,574
88036,626,578
88040,620,582
88044,616,586
88048,613,590
88052,610,595
88056,607,599
88060,604,604
88064,596,609
88068,589,614
88072,582,620
88076,575,625
88080,568,631
88084,562,636
88088,556,641
88092,550,646
88096,544,651
88100,538,657
88104,533,662
88108,528,668
88112,523,674
88116,518,680
88120,513,686
88124,508,692
88128,503,699
88132,498,705
88136,493,712
88140,489,719
88144,482,726
88148,476,734
88152,470,742
88156,464,750
88160,458,758
88164,453,763
88168,449,768
88172,444,773
88176,440,778
88180,436,783
88184,429,790
88188,422,797
88192,415,805
88196,408,812
88200,401,820
88204,398,828
88208,395,837
88212,392,845
88216,389,854
88220,387,863
88224,383,867
88228,379,871
88232,375,875
88236,371,879
88240,367,883
